nome_municipio;id_municipio;dist_base_atendimento_km;score_final_medio
Maripá de Minas;3140209;223.86540006247805;0.3168738869218466
Marmelópolis;3140407;197.52781759106693;0.32801342754715024
Mata Verde;3140555;600.725918226026;0.17864610919960636
Monjolos;3142502;182.82241990675658;0.34231933173216067
Monsenhor Paulo;3142601;138.93047509304282;0.40559451105691086
Montalvânia;3142700;617.0768317553478;0.1772777309595399
Monte Carmelo;3143104;354.30688888336056;0.2594891722543666
Monte Formoso;3143153;464.4358045677195;0.20147663011573147
Morro do Pilar;3143708;119.2950634525567;0.42370324922182845
Munhoz;3143807;265.04852201750964;0.28613260720845063
Muriaé;3143906;230.41754318561607;0.32088247233446626
Mutum;3144003;289.1110781958148;0.2737688265002151
Nacip Raydan;3144201;265.17729465753536;0.2787489185064594
Naque;3144359;212.32887082195649;0.32284031847762096
Ouro Preto;3146107;85.29610269891;0.5366425184417988
Pai Pedro;3146552;507.9804359314852;0.19125794580789762
Paineiras;3146404;183.24094487792453;0.3446296828757965
Pains;3146503;94.15003049482348;0.4977447752779189
Palmópolis;3146750;536.0778097064972;0.18827062278986298
Paraguaçu;3147204;133.32375542330524;0.4153579470239915
Passa Tempo;3147709;35.34168367799323;0.6747977445733386
Pedra do Indaiá;3148905;63.20907840886593;0.5614363103366375
Peçanha;3148608;233.99319271454;0.30023953690997873
Pintópolis;3150570;445.92711457450423;0.2094202705649432
Piranguinho;3151008;202.21344516917293;0.33092275723866654
Pirapora;3151206;302.21213844847597;0.28776425919041515
Prados;3152709;87.78798577027445;0.4958147379681447
Rio Preto;3155900;185.81998159259183;0.34096532488289216
Rubelita;3156502;445.8777239619945;0.20999811158554188
Sabará;3156700;40.21769117200233;0.6591798332877256
Santa Fé de Minas;3157609;386.50217544031966;0.22893565327821655
Santa Juliana;3157708;321.82103093263777;0.2829539466054013
Santa Rita de Minas;3159357;216.05980086406691;0.31988504218176605
Santana do Paraíso;3158953;185.83569902640792;0.35444425325216067
Sapucaí-Mirim;3165404;245.77937304553046;0.2980211402615484
Sem-Peixe;3165560;142.07413496800476;0.38949678502229523
Serra dos Aimorés;3166709;481.56523744054124;0.2074874736534224
Serro;3167103;175.07543092834482;0.3548983589170972
Sete Lagoas;3167202;56.85657067938916;0.6100038569360623
Silveirânia;3167301;168.00990624677297;0.35714025687613693
Simão Pereira;3167509;211.19229856678672;0.3327152153810714
São Francisco;3161106;451.88970089233646;0.21073241720482827
São Gonçalo do Sapucaí;3162005;154.46923120839466;0.402017792576639
São João da Lagoa;3162252;347.4327575256878;0.23722343724920958
São João do Manhuaçu;3162559;218.89271847600088;0.3211296990263559
Tabuleiro;3167905;180.91590267231592;0.35126283854670476
Timóteo;3168705;168.13733900521552;0.38464337455010095
Tombos;3169208;249.9306480167911;0.292516135344222
Uberaba;3170107;341.19544201847333;0.288103382167177
Varjão de Minas;3170750;261.38647223847704;0.292646201616529
Varzelândia;3170909;474.88846501330244;0.20317506632239146
Verdelândia;3171030;491.25786842239756;0.19819464770290185
Vieiras;3171402;227.52143736303444;0.30322223351092126
Visconde do Rio Branco;3172004;183.658287407357;0.36207965192087255
Água Boa;3100609;291.3323874639021;0.26553470885734665
Águas Formosas;3100906;470.42854521474777;0.21048247858956837
Cariacica;3201308;396.4913329025662;0.24875540703839372
Guaçuí;3202306;278.0718336966638;0.28263607042623407
Ibiraçu;3202504;400.4444990098168;0.23666950947803458
Mucurici;3203601;439.237583260985;0.2106995970589474
Muniz Freire;3203700;295.85377732983727;0.26690840944299
Presidente Kennedy;3204302;351.61865147465943;0.4104236107776599
São Domingos do Norte;3204658;385.3252667854169;0.24454983005994027
São Gabriel da Palha;3204708;398.3056474769203;0.23278549356872943
Armação dos Búzios;3300233;380.37087408704946;0.2652792551751958
Barra do Piraí;3300308;222.74507946938255;0.3427848353041092
Duque de Caxias;3301702;280.4642183988718;0.326622908118676
Itaboraí;3301900;305.9061901487454;0.2743694400036838
