ANO;GRANDE REGIÃO;UF;PRODUTO;CÓDIGO IBGE;MUNICÍPIO;VENDAS
1997;REGIÃO NORDESTE;MA;GASOLINA C;2109905;SANTA INES                    ;3361450
1997;REGIÃO NORDESTE;MA;GASOLINA C;2111306;SAO LUIS                      ;92637146
1997;REGIÃO NORDESTE;CE;GASOLINA C;2300206;ACARAU                        ;694000
1997;REGIÃO NORDESTE;CE;GASOLINA C;2301105;ARACATI                       ;3901800
1997;REGIÃO NORDESTE;CE;GASOLINA C;2301601;ASSARE                        ;285000
1997;REGIÃO NORDESTE;CE;GASOLINA C;2301865;BANABUIU                      ;227000
1997;REGIÃO NORDESTE;CE;GASOLINA C;2301903;BARBALHA                      ;1361000
1997;REGIÃO NORDESTE;CE;GASOLINA C;2302608;CAMOCIM                       ;1115000
1997;REGIÃO NORDESTE;CE;GASOLINA C;2302802;CANINDE                       ;1980350
1997;REGIÃO NORDESTE;CE;GASOLINA C;2303701;CAUCAIA                       ;9746405
1997;REGIÃO NORDESTE;CE;GASOLINA C;2304104;CRATEUS                       ;2580031
1997;REGIÃO NORDESTE;CE;GASOLINA C;2304244;CRUZ                          ;583000
1997;REGIÃO NORDESTE;CE;GASOLINA C;2304287;EUSEBIO                       ;1808200
1997;REGIÃO NORDESTE;CE;GASOLINA C;2304406;FORTALEZA                     ;257881263
1997;REGIÃO NORDESTE;CE;GASOLINA C;2305801;IPU                           ;1215000
1997;REGIÃO NORDESTE;CE;GASOLINA C;2306000;IRACEMA                       ;410920
1997;REGIÃO NORDESTE;CE;GASOLINA C;2306409;ITAPIPOCA                     ;1996700
1997;REGIÃO NORDESTE;CE;GASOLINA C;2306700;JAGUARETAMA                   ;341000
1997;REGIÃO NORDESTE;CE;GASOLINA C;2306905;JAGUARIBE                     ;1680600
1997;REGIÃO NORDESTE;CE;GASOLINA C;2307006;JAGUARUANA                    ;612050
1997;REGIÃO NORDESTE;CE;GASOLINA C;2307308;JUAZEIRO DO NORTE             ;10455150
1997;REGIÃO NORDESTE;CE;GASOLINA C;2307502;LAVRAS DA MANGABEIRA          ;331100
1997;REGIÃO NORDESTE;CE;GASOLINA C;2307715;MARACANAU                     ;5765175
1997;REGIÃO NORDESTE;CE;GASOLINA C;2308401;MISSAO VELHA                  ;425000
1997;REGIÃO NORDESTE;CE;GASOLINA C;2308509;MOMBACA                       ;967238
1997;REGIÃO NORDESTE;CE;GASOLINA C;2309203;NOVA OLINDA                   ;455000
1997;REGIÃO NORDESTE;CE;GASOLINA C;2309505;OROS                          ;430000
1997;REGIÃO NORDESTE;CE;GASOLINA C;2309602;PACAJUS                       ;2066775
1997;REGIÃO NORDESTE;CE;GASOLINA C;2310201;PARACURU                      ;897300
1997;REGIÃO NORDESTE;CE;GASOLINA C;2310503;PEDRA BRANCA                  ;577900
1997;REGIÃO NORDESTE;CE;GASOLINA C;2311208;POTENGI                       ;285000
1997;REGIÃO NORDESTE;CE;GASOLINA C;2311305;QUIXADA                       ;3147000
1997;REGIÃO NORDESTE;CE;GASOLINA C;2311500;QUIXERE                       ;339000
1997;REGIÃO NORDESTE;CE;GASOLINA C;2312000;SANTANA DO ACARAU             ;358000
1997;REGIÃO NORDESTE;CE;GASOLINA C;2312905;SOBRAL                        ;9965545
1997;REGIÃO NORDESTE;CE;GASOLINA C;2313804;URUBURETAMA                   ;258300
1997;REGIÃO NORDESTE;RN;GASOLINA C;2400200;ACU                           ;2947050
1997;REGIÃO NORDESTE;RN;GASOLINA C;2401800;BREJINHO                      ;400000
1997;REGIÃO NORDESTE;RN;GASOLINA C;2402009;CAICO                         ;4715000
1997;REGIÃO NORDESTE;RN;GASOLINA C;2402602;CEARA-MIRIM                   ;2662600
